"ind_id";"year";"orgnr";"var";"denominator"
"hjerteinfarkt_dg";2013;974116804;48;171
"hjerteinfarkt_dg";2013;974631326;328;400
"hjerteinfarkt_dg";2013;974631768;180;204
"hjerteinfarkt_dg";2013;973144383;78;134
"hjerteinfarkt_dg";2013;974595214;3;43
"hjerteinfarkt_dg";2013;974744570;105;140
"hjerteinfarkt_dg";2013;974632535;92;204
"hjerteinfarkt_dg";2013;974724960;228;282
"hjerteinfarkt_dg";2013;974795833;181;203
"hjerteinfarkt_dg";2013;983658725;235;267
"hjerteinfarkt_dg";2013;974795639;116;128
"hjerteinfarkt_dg";2013;974724774;255;345
"hjerteinfarkt_dg";2013;974557746;986;1083
"hjerteinfarkt_dg";2013;974633752;353;678
"hjerteinfarkt_dg";2013;974795930;64;71
"hjerteinfarkt_dg";2013;974631385;53;108
"hjerteinfarkt_dg";2013;974631776;151;176
"hjerteinfarkt_dg";2013;974733013;162;205
"hjerteinfarkt_dg";2013;974746948;120;139
"hjerteinfarkt_dg";2013;974754118;298;342
"hjerteinfarkt_dg";2013;874632562;257;299
"hjerteinfarkt_dg";2013;974795558;84;113
"hjerteinfarkt_dg";2013;974726807;1;1
"hjerteinfarkt_dg";2013;974207532;244;309
"hjerteinfarkt_dg";2013;974745089;70;71
"hjerteinfarkt_dg";2013;974795515;103;108
"hjerteinfarkt_dg";2013;974745569;174;196
"hjerteinfarkt_dg";2013;974795485;71;80
"hjerteinfarkt_dg";2013;974753898;134;144
"hjerteinfarkt_dg";2013;974795396;102;109
"hjerteinfarkt_dg";2013;974745364;8;59
"hjerteinfarkt_dg";2013;974633159;99;121
"hjerteinfarkt_dg";2013;974743086;20;54
"hjerteinfarkt_dg";2013;974329506;171;171
"hjerteinfarkt_dg";2013;874716782;996;1038
"hjerteinfarkt_dg";2013;974631407;23;134
"hjerteinfarkt_dg";2013;974798379;28;52
"hjerteinfarkt_dg";2013;974795477;66;74
"hjerteinfarkt_dg";2013;974633191;310;387
"hjerteinfarkt_dg";2013;974749025;759;853
"hjerteinfarkt_dg";2013;974703300;896;1018
"hjerteinfarkt_dg";2013;974742985;37;122
"hjerteinfarkt_dg";2013;974795787;496;539
"hjerteinfarkt_dg";2013;974725215;57;61
"hjerteinfarkt_dg";2013;974633574;453;515
"hjerteinfarkt_dg";2013;974589095;1298;1475
"hjerteinfarkt_dg";2013;974795574;68;78
"hjerteinfarkt_dg";2013;974747545;132;153
"hjerteinfarkt_dg";2013;974743272;65;71
"hjerteinfarkt_dg";2013;974747138;289;336
"hjerteinfarkt_dg";2014;974706490;30;504
"hjerteinfarkt_dg";2014;974631091;498;524
"hjerteinfarkt_dg";2014;974795361;251;303
"hjerteinfarkt_dg";2014;974705788;264;330
"hjerteinfarkt_dg";2014;974116804;182;309
"hjerteinfarkt_dg";2014;974631326;369;424
"hjerteinfarkt_dg";2014;974631768;150;169
"hjerteinfarkt_dg";2014;973144383;67;110
"hjerteinfarkt_dg";2014;974595214;25;62
"hjerteinfarkt_dg";2014;974744570;95;116
"hjerteinfarkt_dg";2014;974632535;139;217
"hjerteinfarkt_dg";2014;974724960;223;250
"hjerteinfarkt_dg";2014;974795833;235;245
"hjerteinfarkt_dg";2014;983658725;293;322
"hjerteinfarkt_dg";2014;974795639;97;102
"hjerteinfarkt_dg";2014;974724774;261;326
"hjerteinfarkt_dg";2014;974557746;852;947
"hjerteinfarkt_dg";2014;974633752;709;865
"hjerteinfarkt_dg";2014;974795930;67;74
"hjerteinfarkt_dg";2014;974631385;144;157
"hjerteinfarkt_dg";2014;974631776;133;145
"hjerteinfarkt_dg";2014;974733013;176;191
"hjerteinfarkt_dg";2014;974746948;100;126
"hjerteinfarkt_dg";2014;974754118;267;297
"hjerteinfarkt_dg";2014;874632562;275;312
"hjerteinfarkt_dg";2014;974795558;40;64
"hjerteinfarkt_dg";2014;974726807;1;1
"hjerteinfarkt_dg";2014;974207532;230;359
"hjerteinfarkt_dg";2014;974745089;50;52
"hjerteinfarkt_dg";2014;974795515;100;103
"hjerteinfarkt_dg";2014;974745569;192;209
"hjerteinfarkt_dg";2014;974795485;59;70
"hjerteinfarkt_dg";2014;974753898;157;169
"hjerteinfarkt_dg";2014;974795396;67;76
"hjerteinfarkt_dg";2014;974745364;42;52
"hjerteinfarkt_dg";2014;974633159;111;131
"hjerteinfarkt_dg";2014;974743086;19;36
"hjerteinfarkt_dg";2014;974329506;151;175
"hjerteinfarkt_dg";2014;874716782;1007;1007
"hjerteinfarkt_dg";2014;974631407;205;225
"hjerteinfarkt_dg";2014;974798379;8;25
"hjerteinfarkt_dg";2014;974795477;70;71
"hjerteinfarkt_dg";2014;974633191;310;360
"hjerteinfarkt_dg";2014;974749025;832;895
"hjerteinfarkt_dg";2014;974703300;1013;1044
"hjerteinfarkt_dg";2014;974742985;40;91
"hjerteinfarkt_dg";2014;974795787;451;475
"hjerteinfarkt_dg";2014;974725215;61;61
"hjerteinfarkt_dg";2014;974633574;447;491
"hjerteinfarkt_dg";2014;974589095;1199;1378
"hjerteinfarkt_dg";2014;974795574;52;79
"hjerteinfarkt_dg";2014;974747545;124;148
"hjerteinfarkt_dg";2014;974743272;67;74
"hjerteinfarkt_dg";2014;974747138;367;408
"hjerteinfarkt_dg";2015;974706490;732;841
"hjerteinfarkt_dg";2015;974631091;381;397
"hjerteinfarkt_dg";2015;974795361;263;313
"hjerteinfarkt_dg";2015;974705788;187;271
"hjerteinfarkt_dg";2015;974116804;258;307
"hjerteinfarkt_dg";2015;974631326;331;376
"hjerteinfarkt_dg";2015;974631768;146;160
"hjerteinfarkt_dg";2015;973144383;76;92
"hjerteinfarkt_dg";2015;974595214;67;69
"hjerteinfarkt_dg";2015;974744570;98;114
"hjerteinfarkt_dg";2015;974632535;234;263
"hjerteinfarkt_dg";2015;974724960;201;242
"hjerteinfarkt_dg";2015;974795833;196;198
"hjerteinfarkt_dg";2015;983658725;241;251
"hjerteinfarkt_dg";2015;974795639;98;102
"hjerteinfarkt_dg";2015;974724774;257;314
"hjerteinfarkt_dg";2015;974557746;880;956
