komnr;komnr_navn;bohfnr;bohf_navn
5012;5012 Snillfjord (2018-2019);7;St. Olavs
5013;5013 Hitra (2018-2019);7;St. Olavs
5014;5014 Frøya;7;St. Olavs
5015;5015 Ørland (2018-2019);7;St. Olavs
5016;5016 Agdenes (2018-2019);7;St. Olavs
5017;5017 Bjugn (2018-2019);7;St. Olavs
5018;5018 Åfjord (2018-2019);7;St. Olavs
5019;5019 Roan (2018-2019);6;Nord-Trøndelag
5020;5020 Osen;6;Nord-Trøndelag
5021;5021 Oppdal;7;St. Olavs
5022;5022 Rennebu;7;St. Olavs
5023;5023 Meldal (2018-2019);7;St. Olavs
5024;5024 Orkdal (2018-2019);7;St. Olavs
5025;5025 Røros;7;St. Olavs
5026;5026 Holtålen;7;St. Olavs
5027;5027 Midtre Gauldal;7;St. Olavs
5028;5028 Melhus;7;St. Olavs
5029;5029 Skaun;7;St. Olavs
5030;5030 Klæbu (2018-2019);7;St. Olavs
5031;5031 Malvik;7;St. Olavs
5032;5032 Selbu;7;St. Olavs
5033;5033 Tydal;7;St. Olavs
5034;5034 Meråker;6;Nord-Trøndelag
5035;5035 Stjørdal;6;Nord-Trøndelag
5036;5036 Frosta;6;Nord-Trøndelag
5037;5037 Levanger;6;Nord-Trøndelag
5038;5038 Verdal;6;Nord-Trøndelag
5039;5039 Verran (2018-2019);6;Nord-Trøndelag
5040;5040 Namdalseid (2018-2019);6;Nord-Trøndelag
5041;5041 Snåase - Snåsa;6;Nord-Trøndelag
5042;5042 Lierne;6;Nord-Trøndelag
5043;5043 Raarvihke - Røyrvik;6;Nord-Trøndelag
5044;5044 Namsskogan;6;Nord-Trøndelag
5045;5045 Grong;6;Nord-Trøndelag
5046;5046 Høylandet;6;Nord-Trøndelag
5047;5047 Overhalla;6;Nord-Trøndelag
5048;5048 Fosnes (2018-2019);6;Nord-Trøndelag
5049;5049 Flatanger;6;Nord-Trøndelag
5050;5050 Vikna (2018-2019);6;Nord-Trøndelag
5051;5051 Nærøy (2018-2019);6;Nord-Trøndelag
5052;5052 Leka;6;Nord-Trøndelag
5053;5053 Inderøy;6;Nord-Trøndelag
5054;5054 Indre Fosen;7;St. Olavs
5055;5055 Heim;7;St. Olavs
5056;5056 Hitra;7;St. Olavs
5057;5057 Ørland;7;St. Olavs
5058;5058 Åfjord;7;St. Olavs
5059;5059 Orkland;7;St. Olavs
5060;5060 Nærøysund;6;Nord-Trøndelag
5061;5061 Rindal;7;St. Olavs
5401;5401 Tromsø;2;UNN
5402;5402 Harstad;2;UNN
5403;5403 Alta;1;Finnmark
5404;5404 Vardø;1;Finnmark
5405;5405 Vadsø;1;Finnmark
5406;5406 Hammerfest;1;Finnmark
5411;5411 Kvæfjord;2;UNN
5412;5412 Tjeldsund;2;UNN
5413;5413 Ibestad;2;UNN
5414;5414 Gratangen;2;UNN
5415;5415 Loabák - Lavangen;2;UNN
5416;5416 Bardu;2;UNN
5417;5417 Salangen;2;UNN
5418;5418 Målselv;2;UNN
5419;5419 Sørreisa;2;UNN
5420;5420 Dyrøy;2;UNN
5421;5421 Senja;2;UNN
5422;5422 Balsfjord;2;UNN
5423;5423 Karlsøy;2;UNN
5424;5424 Lyngen;2;UNN
5425;5425 Storfjord - Omasvuotna - Omasvuono;2;UNN
5426;5426 Gáivuotna - Kåfjord - Kaivuono;2;UNN
5427;5427 Skjervøy;2;UNN
5428;5428 Nordreisa;2;UNN
5429;5429 Kvænangen;2;UNN
5430;5430 Guovdageaidnu - Kautokeino;1;Finnmark
5432;5432 Loppa;1;Finnmark
5433;5433 Hasvik;1;Finnmark
5434;5434 Måsøy;1;Finnmark
5435;5435 Nordkapp;1;Finnmark
5436;5436 Porsanger - Porsángu - Porsanki ;1;Finnmark
5437;5437 Kárásjohka - Karasjok;1;Finnmark
5438;5438 Lebesby;1;Finnmark
5439;5439 Gamvik;1;Finnmark
5440;5440 Berlevåg;1;Finnmark
5441;5441 Deatnu-Tana;1;Finnmark
5442;5442 Unjárga-Nesseby;1;Finnmark
5443;5443 Båtsfjord;1;Finnmark
5444;5444 Sør-Varanger;1;Finnmark
9000;9000 Utenlandske statsborgere uten konvensjonsavtale;24;Utlandet
9900;9900 Utenlandske statsborgere med konvensjonsavtale;24;Utlandet
9999;9999 Ukjent;99;Ukjent
